Date,Open,High,Low,Close,Adj Close,Volume
2011-12-16,25.799999,26.600000,25.650000,26.500000,18.575966,16322700
2011-12-19,26.200001,26.200001,25.049999,25.150000,17.629642,4621115
2011-12-20,25.250000,25.400000,23.750000,23.750000,16.648270,6697100
2011-12-21,24.150000,24.350000,22.950001,23.799999,16.683321,6591700
2011-12-22,23.750000,24.650000,23.700001,24.150000,16.928663,2936500
2011-12-23,24.350000,24.850000,24.200001,24.549999,17.209057,3097800
2011-12-24,null,null,null,null,null,null
2011-12-28,24.400000,24.950001,24.350000,24.700001,17.314201,464400
2011-12-29,24.500000,25.950001,24.450001,25.549999,17.910034,2916700
2011-12-30,25.700001,26.100000,25.299999,25.700001,18.015181,2571700
2011-12-31,null,null,null,null,null,null
2012-01-03,25.950001,26.049999,25.650000,25.950001,18.190428,1751100
2012-01-04,25.950001,26.000000,25.549999,25.549999,17.910034,432000
2012-01-05,25.100000,25.450001,24.549999,25.000000,17.524494,124400
2012-01-06,24.500000,24.700001,23.450001,23.950001,16.788467,2087400
2012-01-09,23.950001,24.799999,23.350000,24.799999,17.384296,649913
2012-01-10,24.650000,26.000000,24.549999,26.000000,18.225473,2376000
2012-01-11,25.900000,26.000000,25.100000,25.900000,18.155378,366400
2012-01-12,25.549999,25.950001,25.549999,25.850000,18.120327,349000
2012-01-13,25.750000,25.750000,24.950001,25.100000,17.594593,1057600
2012-01-16,24.900000,25.450001,24.850000,25.150000,17.629642,2730400
2012-01-17,25.000000,26.000000,24.799999,25.750000,18.050232,2497600
2012-01-18,26.150000,28.350000,26.150000,27.799999,19.487238,15674700
2012-01-19,28.500000,29.799999,28.350000,28.900000,20.258316,17016500
2012-01-20,29.250000,29.250000,28.250000,28.500000,19.977924,3903124
2012-01-26,28.799999,29.549999,28.350000,29.250000,20.503660,4441200
2012-01-27,29.000000,29.600000,28.150000,29.000000,20.328417,2871261
2012-01-30,29.000000,29.000000,27.750000,28.000000,19.627436,4229200
2012-01-31,27.900000,29.049999,27.850000,28.549999,20.012974,6317200
2012-02-01,28.549999,29.799999,28.500000,28.950001,20.293365,7605700
2012-02-02,29.100000,31.750000,29.100000,31.500000,22.080866,9467300
2012-02-03,31.000000,32.099998,30.850000,31.450001,22.045816,4128100
2012-02-06,31.799999,32.200001,31.000000,31.850000,22.326208,5733300
2012-02-07,32.099998,32.099998,30.500000,30.900000,21.660280,3634600
2012-02-08,30.950001,33.000000,30.650000,32.650002,22.886993,6239600
2012-02-09,32.500000,32.950001,31.650000,32.549999,22.816895,2660200
2012-02-10,32.549999,32.549999,31.650000,32.400002,22.711750,4224400
2012-02-13,32.500000,33.900002,32.400002,33.000000,23.132339,4329000
2012-02-14,33.799999,33.799999,32.750000,33.200001,23.272532,2465800
2012-02-15,33.250000,36.400002,33.200001,35.500000,24.884783,5665450
2012-02-16,35.500000,36.400002,34.650002,35.400002,24.814686,5514400
