Date,Open,High,Low,Close,Adj Close,Volume
2016-01-26,4.760000,4.830000,4.760000,4.830000,3.348376,85500
2016-01-27,4.910000,4.910000,4.760000,4.760000,3.299849,9500
2016-01-28,4.750000,4.800000,4.750000,4.780000,3.313713,14500
2016-01-29,4.790000,4.790000,4.790000,4.790000,3.320647,15000
2016-02-01,4.790000,4.790000,4.790000,4.790000,3.320647,5000
2016-02-02,4.750000,4.800000,4.750000,4.790000,3.320647,177500
2016-02-03,4.790000,4.790000,4.790000,4.790000,3.320647,26000
2016-02-04,4.790000,4.790000,4.790000,4.790000,3.320647,159500
2016-02-05,4.800000,4.800000,4.800000,4.800000,3.327579,19000
2016-02-11,4.760000,4.760000,4.760000,4.790000,3.320647,81000
2016-02-12,4.820000,4.820000,4.760000,4.770000,3.306781,17000
2016-02-15,4.780000,4.800000,4.780000,4.790000,3.320647,59000
2016-02-16,4.790000,4.800000,4.790000,4.800000,3.327579,8500
2016-02-17,4.800000,4.820000,4.800000,4.810000,3.334511,107500
2016-02-18,4.820000,4.840000,4.820000,4.840000,3.355309,41500
2016-02-19,4.840000,4.840000,4.840000,4.840000,3.355309,0
2016-02-22,4.890000,4.990000,4.820000,4.860000,3.369173,391500
2016-02-23,4.830000,4.830000,4.820000,4.820000,3.341444,6500
2016-02-24,4.820000,4.820000,4.820000,4.820000,3.341444,1000
2016-02-25,4.820000,4.820000,4.820000,4.820000,3.341444,110500
2016-02-26,4.830000,4.830000,4.830000,4.830000,3.348376,13000
2016-02-29,4.830000,4.830000,4.830000,4.830000,3.348376,88500
2016-03-01,4.900000,4.900000,4.900000,4.900000,3.396903,37000
2016-03-02,4.870000,4.870000,4.870000,4.870000,3.376106,0
2016-03-03,4.880000,4.880000,4.880000,4.880000,3.383038,515500
2016-03-04,4.860000,4.860000,4.860000,4.860000,3.369173,8000
2016-03-07,4.950000,5.050000,4.880000,4.880000,3.383038,859500
2016-03-08,4.880000,4.880000,4.880000,4.880000,3.383038,0
2016-03-09,4.840000,4.850000,4.840000,4.850000,3.362241,217000
2016-03-10,4.880000,5.050000,4.880000,4.900000,3.396903,23000
2016-03-11,4.980000,4.980000,4.970000,4.970000,3.445430,620500
2016-03-14,5.000000,5.100000,4.940000,5.040000,3.493958,212700
2016-03-15,5.040000,5.120000,5.040000,5.100000,3.535552,233000
2016-03-16,5.090000,5.130000,4.900000,5.100000,3.535552,283500
2016-03-17,5.100000,5.100000,4.910000,5.090000,3.528620,131000
2016-03-18,5.080000,5.100000,4.930000,5.090000,3.528620,64673
2016-03-21,5.110000,5.130000,4.950000,5.020000,3.480093,170000
2016-03-22,5.030000,5.030000,4.920000,5.000000,3.466228,2500
2016-03-23,5.010000,5.120000,4.980000,5.050000,3.500890,85500
2016-03-24,5.000000,5.080000,5.000000,5.050000,3.500890,81500
2016-03-29,5.030000,5.030000,4.930000,4.930000,3.417701,1500
2016-03-30,5.080000,5.080000,4.920000,4.950000,3.431565,203000
2016-03-31,4.950000,4.950000,4.950000,4.950000,3.431565,0
2016-04-01,5.020000,5.080000,4.950000,5.020000,3.480093,109000
