name,hcode,acode,chinese_name,nickname
Sinotrans,00598.HK,601598.SH,中国外运,
Huadian Power International,01071.HK,600027.SH,华电国际电力股份,HUADIAN POWER
JIANGXI COPPER,00358.HK,600362.SH,江西铜业股份,
TIGERMED,03347.HK,300347.SZ,泰格医药,
FLAT GLASS,06865.HK,601865.SH,福莱特玻璃,
QINGDAO PORT,06198.HK,601298.SH,青岛港,
CGN POWER Co,01816.HK,003816.SZ,中广核电力,China General Nuclear Power
CRRC Corporation,01766.HK,601766.SH,中国中车,
China Eastern Airlines,00670.HK,600115.SH,中国东方航空股份,
China CITIC Bank International,00998.HK,601998.SH,中信银行,CITIC BANK
China International Marine Containers,02039.HK,000039.SZ,中集集团,
Fosun Pharma,02196.HK,600196.SH,复星医药,
Shenzhen Expressway,00548.HK,600548.SH,深圳高速公路股份,
REMEGEN,09995.HK,688331.SH,荣昌生物,
CHINA TELECOM,00728.HK,601728.SH,中国电信,
Huatai Securities,06886.HK,601688.SH,华泰证券,
Aluminum Corporation of China,02600.HK,601600.SH,中国铝业,CHALCO
CHINA MOBILE,00941.HK,600941.SH,中国移动,
ANGANG STEEL,00347.HK,000898.SZ,鞍钢股,
Shanghai Pharmaceuticals,02607.HK,601607.SH,上海医药,SH PHARMA
TIMES ELECTRIC,03898.HK,688187.SH,时代电气,Zhuzhou CRRC,株洲中车时代
LIVZON PHARMA,01513.HK,000513.SZ,丽珠医药,
CNOOC,00883.HK,600938.SH,中国海洋石油,China National Offshore Oil Corporation
Jiangsu Expressway,00177.HK,600377.SH,江苏宁沪高速公路,JIANGSU EXPRESS
CHINA VANKE,02202.HK,000002.SZ,万科企业,Vanke,万科
China Pacific Insurance Company,02601.HK,601601.SH,中国太保,
AIR CHINA,00753.HK,601111.SH,中國國航,
GF Securities,01776.HK,000776.SZ,广发证券,GF SEC
Ganfeng Lithium,01772.HK,002460.SZ,贛鋒鋰業,GANFENGLITHIUM
China Coal Energy,01898.HK,601898.SH,中煤能源,
China Minsheng Banking ,01988.HK,600016.SH,民生银行,MINSHENG BANK
China Construction Bank,00939.HK,601939.SH,建设银行,
BANK OF CHINA,03988.HK,601988.SH,中国银行,
CITIC Securities,06030.HK,600030.SH,中信证券,CITIC SEC
ZTE,00763.HK,000063.SZ,中兴通讯,
Beijing SinoHytec,02402.HK,688339.SH,亿华通,SINOHYTEC
Guangzhou Baiyunshan Pharmaceutical,00874.HK,600332.SH,白云山,BAIYUNSHAN PH
Chongqing Rural Commercial Bank,03618.HK,601077.SH,重庆农村商业银行,CQRC BANK
Yanzhou Coal Mining,01171.HK,600188.SH,兖矿能源,YANKUANG ENERGY
SINOPEC,00386.HK,600028.SH,中國石油化工股份,China Petroleum & Chemical Corporation,中石化
Tsingtao Beer,00168.HK,600600.SH,青岛啤酒股份,青岛啤酒
Anhui Expressway,00995.HK,600012.SH,安徽皖通高速公路股份 
PetroChina,00857.HK,601857.SH,中国石油股份,Petro China,中国石油天然气股份
BEIGENE,06160.HK,688235.SH,百济神州,
Asymchem Lab,06821.HK,002821.SZ,凯莱英,ASYMCHEM
China Everbright Bank,06818.HK,601818.SH,中國光大銀行,
TIANQI LITHIUM,09696.HK,002466.SZ,天齐锂业,
Postal Savings Bank of China,01658.HK,601658.SH,邮储银行,
Anhui Conch Cement,00914.HK,600585.SH,海螺水泥,CONCH CEMENT
Agricultural Bank of China,01288.HK,601288.SH,农业银行,("ABC" AND "bank")
CHINA SHENHUA,01088.HK,601088.SH,中国神华,Shenhua Energy,神华能源
Industrial and Commercial Bank of China ,01398.HK,601398.SH,工商银行,("ICBC" AND "bank") 
China Zheshang Bank,02016.HK,601916.SH,浙商银行,
Bank of Communications,03328.HK,601328.SH,交通银行,
COSCO SHIP HOLD,01919.HK,601919.SH,中远海控,China COSCO 
WEICHAI POWER,02338.HK,000338.SZ,潍柴动力,
CMOC Group,03993.HK,603993.SH,洛阳钼业,China Molybdenum
Ping An Insurance,02318.HK,601318.SH,中国平安,
Hisense Kelon Electrical,00921.HK,000921.SZ,海信家电,
China International Travel Service Corporation,01880.HK,601888.SH,中国中免,CTG DUTY-FREE
China Merchants Bank,03968.HK,600036.SH,招商银行,
FUYAO GLASS,03606.HK,600660.SH,福耀玻璃,
ZIJIN MINING,02899.HK,601899.SH,紫金矿业,
HAIER SMARTHOME,06690.HK,600690.SH,海尔智家,Qingdao Refrigerator
BYD COMPANY,01211.HK,002594.SZ,比亚迪股份,
WUXI APPTEC,02359.HK,603259.SH,药明康德,WuXi Biologics,("WuXi" AND "pharmaceutical"),藥明康德
