Date,Open,High,Low,Close,Adj Close,Volume
2018-09-13,10.180000,10.440000,9.820000,10.310000,10.252139,154437367
2018-09-14,10.150000,10.330000,9.280000,9.280000,9.227919,132162360
2018-09-17,8.870000,9.430000,8.660000,9.190000,9.138424,98166651
2018-09-18,9.020000,10.110000,8.720000,10.110000,10.053260,179864030
2018-09-19,10.000000,10.280000,9.720000,9.750000,9.695281,150490177
2018-09-20,9.490000,9.500000,9.130000,9.150000,9.098648,107493737
2018-09-21,9.180000,9.380000,8.900000,9.160000,9.108592,80942498
2018-09-25,9.190000,9.260000,8.930000,9.000000,8.949490,55558433
2018-09-26,9.010000,9.070000,8.710000,8.840000,8.790388,66090443
2018-09-27,8.810000,8.810000,7.960000,7.960000,7.915327,88363642
2018-09-28,7.900000,8.100000,7.820000,7.860000,7.815888,48099767
2018-10-08,7.600000,7.860000,7.400000,7.490000,7.447964,45956059
2018-10-09,7.530000,7.730000,7.500000,7.650000,7.607067,37951468
2018-10-10,7.620000,7.980000,7.600000,7.700000,7.656786,50557553
2018-10-11,7.700000,7.700000,7.700000,7.700000,7.656786,0
2018-10-12,6.540000,6.740000,6.350000,6.530000,6.493352,56416191
2018-10-15,6.650000,6.750000,6.220000,6.300000,6.264643,38034242
2018-10-16,6.400000,6.580000,6.170000,6.420000,6.383970,48062349
2018-10-17,6.540000,6.590000,6.250000,6.350000,6.314363,40901389
2018-10-18,6.150000,6.300000,5.810000,5.980000,5.946439,55243357
2018-10-19,5.850000,6.250000,5.850000,6.180000,6.145317,48551383
2018-10-22,6.150000,6.680000,6.120000,6.480000,6.443633,68509381
2018-10-23,6.500000,6.500000,6.120000,6.160000,6.125429,50798089
2018-10-24,6.120000,6.270000,6.050000,6.080000,6.045878,36858555
2018-10-25,5.810000,6.350000,5.610000,6.160000,6.125429,62326347
2018-10-26,6.090000,6.410000,6.060000,6.210000,6.175148,59325895
2018-10-29,6.080000,6.360000,6.040000,6.090000,6.055822,40742981
2018-10-30,6.150000,6.280000,5.820000,6.190000,6.155261,51510572
2018-10-31,6.190000,6.190000,6.190000,6.190000,6.155261,0
2018-11-01,7.090000,7.160000,6.580000,6.580000,6.543071,116128514
2018-11-02,6.590000,6.750000,6.550000,6.680000,6.642510,69961684
2018-11-05,6.880000,6.990000,6.700000,6.780000,6.741950,76415716
2018-11-06,6.600000,6.690000,6.390000,6.560000,6.523184,54694909
2018-11-07,6.470000,6.580000,6.340000,6.350000,6.314363,40768641
2018-11-08,6.380000,6.600000,6.260000,6.390000,6.354138,43264857
2018-11-09,6.250000,6.330000,6.100000,6.140000,6.105541,36844540
2018-11-12,6.090000,6.250000,6.050000,6.250000,6.214924,28431868
2018-11-13,6.150000,6.490000,6.130000,6.450000,6.413801,51542985
2018-11-14,6.450000,6.770000,6.370000,6.480000,6.443633,55281389
2018-11-15,6.390000,6.630000,6.360000,6.580000,6.543071,50051415
2018-11-16,6.570000,6.640000,6.500000,6.580000,6.543071,41399247
2018-11-19,6.650000,6.870000,6.550000,6.800000,6.761837,66534584
2018-11-20,6.710000,6.720000,6.420000,6.420000,6.383970,51931485
2018-11-21,6.190000,6.340000,6.120000,6.330000,6.294475,31696011
2018-11-22,6.300000,6.360000,6.180000,6.200000,6.165204,23664395
2018-11-23,6.190000,6.290000,5.880000,5.880000,5.847001,32643159
2018-11-26,5.840000,5.950000,5.760000,5.800000,5.767449,19644976
2018-11-27,5.860000,5.910000,5.750000,5.840000,5.807225,15529238
2018-11-28,5.830000,6.090000,5.700000,5.960000,5.926551,23810795
2018-11-29,6.010000,6.070000,5.600000,5.600000,5.568572,29629964
2018-11-30,5.600000,5.700000,5.400000,5.540000,5.508908,28974655
2018-12-03,5.720000,5.770000,5.610000,5.730000,5.697842,27554254
2018-12-04,5.750000,5.820000,5.660000,5.820000,5.787337,23325068
2018-12-05,5.670000,5.730000,5.610000,5.670000,5.638179,18710550
2018-12-06,5.680000,5.700000,5.550000,5.570000,5.538740,17981165
2018-12-07,5.580000,5.670000,5.520000,5.570000,5.538740,14133500
2018-12-10,5.560000,5.580000,5.450000,5.460000,5.429358,12444115
2018-12-11,5.510000,5.570000,5.460000,5.530000,5.498965,11962508
2018-12-12,5.560000,5.740000,5.550000,5.640000,5.608347,24876470
2018-12-13,5.640000,6.090000,5.570000,5.890000,5.856944,53255977
2018-12-14,5.780000,5.820000,5.650000,5.670000,5.638179,36095370
2018-12-17,5.670000,5.980000,5.650000,5.920000,5.886776,43871716
2018-12-18,5.860000,5.860000,5.710000,5.810000,5.777393,30135043
2018-12-19,5.770000,5.800000,5.590000,5.590000,5.558628,23539779
2018-12-20,5.510000,5.700000,5.510000,5.630000,5.598403,19370842
